TransactionID,Date,Category,Product,Quantity,UnitPrice,TotalPrice,Region,SalesRep,PaymentMethod
121,2023-12-02,Furniture,Chair,11,625.14,6876.54,West,Charlie,Bank Transfer
122,2023-11-29,Electronics,Tablet,11,628.67,6915.37,Central,Diana,Bank Transfer
123,2023-10-05,Electronics,Laptop,8,748.03,5984.24,South,Charlie,Bank Transfer
124,2023-02-20,Electronics,Headphones,1,50.76,50.76,South,Charlie,Cash
125,2023-05-31,Clothing,Jacket,8,533.51,4268.08,West,Bob,Credit Card
126,2023-03-29,Furniture,Chair,20,684.72,13694.4,Central,Diana,Bank Transfer
127,2023-10-26,Furniture,Table,15,259.05,3885.75,West,Charlie,Cash
128,2023-08-27,Clothing,Jeans,12,987.71,11852.52,North,Diana,Online
129,2023-11-24,Groceries,Bread,7,999.38,6995.66,West,Charlie,Bank Transfer
130,2023-02-24,Furniture,Bookshelf,19,299.39,5688.41,Central,Charlie,Online
131,2023-01-12,Groceries,Bread,2,911.06,1822.12,North,Ethan,Bank Transfer
132,2023-05-27,Furniture,Sofa,20,254.37,5087.4,South,Bob,Credit Card
133,2023-11-18,Electronics,Laptop,2,581.68,1163.36,East,Diana,Credit Card
134,2023-02-16,Clothing,Jacket,7,136.5,955.5,West,Bob,Online
135,2023-09-29,Toys,Action Figure,16,967.55,15480.8,South,Charlie,Online
136,2023-06-23,Electronics,Headphones,8,860.84,6886.72,North,Bob,Bank Transfer
137,2023-10-13,Clothing,T-Shirt,9,538.89,4850.01,West,Alice,Bank Transfer
138,2023-07-08,Clothing,Shoes,8,474.12,3792.96,East,Alice,Online
139,2023-11-09,Furniture,Chair,14,121.09,1695.26,West,Charlie,Cash
140,2023-01-20,Clothing,Shoes,8,887.82,7102.56,North,Alice,Credit Card
141,2023-07-18,Groceries,Bread,19,743.56,14127.64,Central,Diana,Credit Card
142,2023-08-01,Electronics,Headphones,9,37.55,337.95,Central,Diana,Online
143,2023-04-22,Groceries,Eggs,4,981.02,3924.08,South,Charlie,Online
144,2023-10-06,Clothing,T-Shirt,7,968.37,6778.59,West,Charlie,Bank Transfer
145,2023-02-16,Furniture,Chair,8,988.88,7911.04,North,Charlie,Credit Card
146,2023-02-05,Toys,Doll,8,331.92,2655.36,Central,Bob,Credit Card
147,2023-11-02,Electronics,Tablet,18,254.4,4579.2,South,Bob,Credit Card
148,2023-02-26,Electronics,Smartphone,8,590.91,4727.28,North,Charlie,Cash
149,2023-03-31,Clothing,T-Shirt,17,118.08,2007.36,South,Diana,Cash
150,2023-09-01,Groceries,Bread,4,454.75,1819,Central,Ethan,Credit Card
151,2023-11-11,Electronics,Tablet,2,998.59,1997.18,West,Alice,Bank Transfer
152,2023-08-07,Electronics,Headphones,3,325.5,976.5,West,Alice,Credit Card
153,2023-02-03,Furniture,Sofa,18,713.59,12844.62,Central,Ethan,Bank Transfer
154,2023-11-02,Toys,Action Figure,20,433.05,8661,West,Ethan,Cash
155,2023-12-02,Toys,Doll,8,416.74,3333.92,West,Diana,Bank Transfer
156,2023-07-24,Groceries,Rice,11,666.78,7334.58,East,Diana,Online
157,2023-03-20,Groceries,Rice,3,434.72,1304.16,North,Alice,Online
158,2023-03-08,Toys,Puzzle,18,333,5994,Central,Ethan,Cash
159,2023-07-30,Clothing,Shoes,20,315.89,6317.8,North,Charlie,Cash
160,2023-10-23,Toys,Doll,8,848.04,6784.32,South,Diana,Online
161,2023-10-12,Clothing,T-Shirt,8,808.19,6465.52,East,Ethan,Cash
162,2023-11-08,Clothing,T-Shirt,10,921.93,9219.3,South,Charlie,Online
163,2023-01-04,Furniture,Table,3,146.17,438.51,Central,Diana,Cash
164,2023-02-16,Toys,Doll,15,344.19,5162.85,West,Diana,Online
165,2023-06-09,Clothing,T-Shirt,6,755.66,4533.96,North,Bob,Cash
166,2023-12-12,Electronics,Tablet,16,609.04,9744.64,West,Diana,Bank Transfer
167,2023-05-20,Furniture,Chair,4,286.83,1147.32,East,Diana,Bank Transfer
168,2023-09-27,Clothing,T-Shirt,20,59.51,1190.2,South,Diana,Credit Card
169,2023-06-04,Furniture,Table,11,124.38,1368.18,East,Charlie,Bank Transfer
170,2023-08-09,Furniture,Table,8,502.76,4022.08,West,Ethan,Online
171,2023-02-06,Groceries,Rice,15,921.56,13823.4,West,Alice,Online
172,2023-10-22,Groceries,Eggs,4,408.01,1632.04,West,Charlie,Online
173,2023-03-29,Toys,Board Game,14,845.26,11833.64,East,Alice,Credit Card
174,2023-08-12,Toys,Board Game,13,871.17,11325.21,Central,Alice,Online
175,2023-04-24,Clothing,Jeans,4,532.95,2131.8,North,Ethan,Credit Card
176,2023-06-28,Clothing,Jeans,5,259.69,1298.45,South,Alice,Credit Card
177,2023-11-05,Furniture,Chair,15,755.67,11335.05,South,Diana,Bank Transfer
178,2023-12-15,Toys,Action Figure,15,72.94,1094.1,East,Bob,Bank Transfer
179,2023-11-20,Clothing,Jacket,12,509.8,6117.6,Central,Alice,Online
180,2023-08-25,Groceries,Rice,10,81.35,813.5,North,Charlie,Cash
181,2023-11-11,Toys,Board Game,18,954.46,17180.28,West,Ethan,Cash
182,2023-08-19,Toys,Doll,16,503.86,8061.76,East,Ethan,Cash
183,2023-08-19,Electronics,Tablet,6,43.95,263.7,North,Ethan,Bank Transfer
184,2023-08-13,Toys,Doll,10,390.48,3904.8,East,Charlie,Online
185,2023-12-14,Toys,Puzzle,11,99.03,1089.33,East,Alice,Bank Transfer
186,2023-05-26,Clothing,Jeans,19,665.29,12640.51,East,Alice,Online
187,2023-06-08,Groceries,Milk,10,561.13,5611.3,Central,Alice,Online
188,2023-03-07,Toys,Puzzle,12,23.14,277.68,West,Ethan,Online
189,2023-04-03,Furniture,Sofa,8,999.98,7999.84,West,Bob,Credit Card
190,2023-02-09,Clothing,T-Shirt,17,42.56,723.52,Central,Ethan,Online
191,2023-11-13,Furniture,Bookshelf,6,832.19,4993.14,South,Bob,Credit Card
192,2023-08-13,Electronics,Headphones,15,612.54,9188.1,East,Bob,Bank Transfer
193,2023-04-30,Toys,Doll,7,371,2597,East,Diana,Bank Transfer
194,2023-08-25,Clothing,Shoes,14,966.44,13530.16,Central,Ethan,Credit Card
195,2023-11-06,Furniture,Sofa,12,556.77,6681.24,North,Diana,Cash
196,2023-12-31,Toys,Puzzle,6,276.43,1658.58,East,Alice,Credit Card
197,2023-08-12,Electronics,Smartphone,1,417.82,417.82,West,Charlie,Bank Transfer
198,2023-09-15,Clothing,Jeans,12,228.42,2741.04,West,Alice,Online
199,2023-02-20,Clothing,Jeans,10,917.81,9178.1,South,Alice,Bank Transfer
200,2023-12-23,Furniture,Bookshelf,1,906.33,906.33,West,Ethan,Cash
201,2023-05-12,Furniture,Table,17,426.14,7244.38,Central,Ethan,Online
202,2023-05-02,Clothing,T-Shirt,14,640.76,8970.64,North,Bob,Bank Transfer
203,2023-02-02,Electronics,Headphones,1,633.8,633.8,Central,Ethan,Credit Card
204,2023-03-15,Clothing,Shoes,12,244.36,2932.32,North,Ethan,Bank Transfer
205,2023-04-06,Electronics,Tablet,18,509.79,9176.22,North,Ethan,Cash
206,2023-07-19,Groceries,Rice,9,748.58,6737.22,West,Charlie,Online
207,2023-02-04,Clothing,Jeans,11,137.74,1515.14,North,Ethan,Online
208,2023-10-07,Clothing,Jeans,6,812.44,4874.64,West,Diana,Cash
209,2023-08-23,Electronics,Tablet,7,886.36,6204.52,South,Alice,Online
210,2023-06-08,Toys,Board Game,9,41.44,372.96,Central,Diana,Credit Card
211,2023-05-27,Clothing,T-Shirt,4,800.35,3201.4,East,Charlie,Bank Transfer
212,2023-07-24,Groceries,Eggs,16,693.61,11097.76,East,Bob,Online
213,2023-09-23,Clothing,T-Shirt,14,604.44,8462.16,West,Alice,Credit Card
214,2023-10-07,Clothing,Jacket,11,662.61,7288.71,North,Alice,Online
215,2023-08-17,Toys,Board Game,12,449.89,5398.68,South,Diana,Online
216,2023-11-11,Groceries,Bread,13,366.49,4764.37,North,Alice,Credit Card
217,2023-01-16,Furniture,Bookshelf,3,239.82,719.46,North,Bob,Online
218,2023-07-05,Groceries,Rice,15,949.08,14236.2,Central,Bob,Online
219,2023-08-16,Electronics,Smartphone,13,317.81,4131.53,Central,Charlie,Online
220,2023-05-08,Electronics,Laptop,17,390.05,6630.85,South,Diana,Cash
221,2023-05-15,Clothing,Shoes,10,695.51,6955.1,South,Ethan,Bank Transfer
222,2023-04-13,Electronics,Smartphone,6,899.19,5395.14,North,Diana,Bank Transfer
223,2023-02-14,Clothing,Jacket,18,293.91,5290.38,North,Ethan,Online
224,2023-03-22,Furniture,Sofa,4,985.21,3940.84,Central,Bob,Credit Card
225,2023-05-02,Groceries,Rice,19,372.07,7069.33,East,Ethan,Credit Card
226,2023-11-10,Electronics,Laptop,16,528.07,8449.12,East,Diana,Bank Transfer
227,2023-10-22,Electronics,Smartphone,15,468.5,7027.5,East,Alice,Online
228,2023-03-07,Toys,Doll,17,911.16,15489.72,South,Diana,Cash
229,2023-03-05,Toys,Doll,6,326.05,1956.3,East,Bob,Credit Card
230,2023-06-27,Toys,Action Figure,7,636.88,4458.16,North,Charlie,Online
231,2023-03-06,Clothing,T-Shirt,19,941.9,17896.1,Central,Bob,Credit Card
232,2023-03-29,Toys,Action Figure,1,85.82,85.82,Central,Alice,Online
233,2023-11-30,Furniture,Bookshelf,16,889.55,14232.8,Central,Alice,Online
234,2023-11-25,Clothing,Shoes,10,456.28,4562.8,South,Diana,Cash
235,2023-03-22,Groceries,Eggs,7,343.49,2404.43,West,Diana,Credit Card
236,2023-06-10,Clothing,Jacket,12,517.41,6208.92,West,Bob,Cash
237,2023-06-13,Furniture,Bookshelf,15,251.68,3775.2,North,Charlie,Cash
238,2023-01-26,Clothing,Shoes,8,962.87,7702.96,Central,Diana,Credit Card
239,2023-06-17,Toys,Action Figure,16,995.99,15935.84,South,Bob,Bank Transfer
240,2023-09-13,Clothing,Shoes,13,507.92,6602.96,North,Alice,Credit Card
241,2023-04-21,Toys,Action Figure,10,497.42,4974.2,North,Alice,Bank Transfer
242,2023-05-27,Toys,Puzzle,5,883.04,4415.2,North,Diana,Online
243,2023-07-26,Clothing,T-Shirt,19,564.01,10716.19,West,Alice,Online
244,2023-10-11,Clothing,T-Shirt,15,765.58,11483.7,West,Ethan,Online
245,2023-11-16,Toys,Puzzle,13,376.33,4892.29,South,Alice,Online
246,2023-10-13,Clothing,Jeans,17,404.38,6874.46,South,Ethan,Cash
247,2023-01-24,Electronics,Smartphone,17,459.7,7814.9,East,Diana,Credit Card
248,2023-06-17,Toys,Action Figure,20,740.62,14812.4,South,Diana,Online
249,2023-10-31,Clothing,Shoes,16,816.67,13066.72,Central,Charlie,Online
250,2023-06-19,Electronics,Headphones,1,598.93,598.93,Central,Charlie,Online
251,2023-12-02,Toys,Doll,16,174.66,2794.56,North,Ethan,Bank Transfer
252,2023-03-17,Furniture,Chair,7,23.84,166.88,Central,Alice,Online
253,2023-08-03,Furniture,Bookshelf,17,776.1,13193.7,South,Diana,Bank Transfer
254,2023-02-01,Furniture,Table,16,527.85,8445.6,Central,Charlie,Online
255,2023-03-30,Groceries,Bread,9,612.03,5508.27,Central,Charlie,Credit Card
256,2023-05-07,Clothing,Jacket,10,706.38,7063.8,South,Charlie,Bank Transfer
257,2023-06-12,Groceries,Bread,10,126.26,1262.6,Central,Charlie,Bank Transfer
258,2023-07-22,Clothing,Jeans,10,955.54,9555.4,East,Alice,Cash
259,2023-06-27,Groceries,Bread,7,828.81,5801.67,West,Bob,Online
260,2023-10-15,Clothing,Jeans,19,243.09,4618.71,North,Ethan,Cash
261,2023-12-09,Toys,Doll,4,416.23,1664.92,South,Alice,Bank Transfer
262,2023-02-21,Furniture,Chair,14,654.63,9164.82,Central,Bob,Bank Transfer
263,2023-09-02,Furniture,Sofa,2,908.4,1816.8,East,Charlie,Cash
264,2023-11-30,Toys,Doll,6,420.8,2524.8,Central,Alice,Credit Card
265,2023-01-19,Groceries,Eggs,2,14.22,28.44,South,Charlie,Cash
266,2023-06-21,Clothing,Shoes,16,889.81,14236.96,Central,Ethan,Credit Card
267,2023-09-16,Groceries,Bread,11,166.68,1833.48,South,Alice,Bank Transfer
268,2023-11-28,Clothing,Jeans,10,569.94,5699.4,North,Charlie,Credit Card
269,2023-03-31,Toys,Board Game,11,91.3,1004.3,West,Ethan,Cash
270,2023-04-05,Furniture,Bookshelf,1,264.48,264.48,East,Bob,Credit Card
271,2023-08-17,Clothing,Jacket,19,16.38,311.22,East,Ethan,Online
272,2023-12-21,Furniture,Chair,10,163.92,1639.2,North,Diana,Online
273,2023-12-20,Electronics,Tablet,8,223.03,1784.24,East,Ethan,Credit Card
274,2023-09-02,Furniture,Bookshelf,14,703.43,9848.02,Central,Charlie,Bank Transfer
275,2023-10-03,Furniture,Table,17,449.51,7641.67,Central,Alice,Online
276,2023-02-09,Toys,Puzzle,17,206.15,3504.55,North,Ethan,Credit Card
277,2023-03-26,Clothing,Shoes,19,491.38,9336.22,North,Bob,Bank Transfer
278,2023-01-29,Groceries,Milk,15,566.09,8491.35,Central,Diana,Bank Transfer
279,2023-12-11,Clothing,T-Shirt,1,747.08,747.08,West,Charlie,Cash
280,2023-01-24,Groceries,Bread,2,934.91,1869.82,North,Ethan,Cash
281,2023-08-30,Electronics,Tablet,5,767,3835,West,Bob,Bank Transfer
282,2023-07-11,Groceries,Eggs,3,684.32,2052.96,West,Diana,Credit Card
283,2023-12-01,Clothing,T-Shirt,13,531.2,6905.6,South,Ethan,Credit Card
284,2023-01-02,Electronics,Tablet,14,534.27,7479.78,West,Ethan,Credit Card
285,2023-05-07,Groceries,Bread,7,937.72,6564.04,South,Charlie,Cash
286,2023-01-17,Groceries,Rice,3,105.39,316.17,South,Bob,Cash
287,2023-08-17,Toys,Puzzle,13,441.77,5743.01,South,Alice,Credit Card
288,2023-01-29,Furniture,Sofa,11,579.59,6375.49,South,Ethan,Online
289,2023-05-02,Clothing,Jeans,14,304,4256,Central,Bob,Cash
290,2023-10-13,Toys,Doll,16,51.65,826.4,West,Ethan,Online
291,2023-11-26,Groceries,Bread,5,303.39,1516.95,West,Diana,Credit Card
292,2023-10-03,Groceries,Milk,5,806.75,4033.75,South,Charlie,Cash
293,2023-10-15,Groceries,Eggs,5,391.48,1957.4,Central,Ethan,Online
294,2023-04-15,Clothing,T-Shirt,3,537.96,1613.88,West,Charlie,Credit Card
295,2023-01-27,Clothing,Shoes,2,874.25,1748.5,Central,Ethan,Credit Card
296,2023-10-28,Toys,Doll,11,306.67,3373.37,West,Bob,Cash
297,2023-04-19,Furniture,Chair,20,705.25,14105,West,Bob,Bank Transfer
298,2023-05-03,Toys,Action Figure,15,535.98,8039.7,East,Diana,Online
299,2023-06-07,Clothing,Jacket,15,103.12,1546.8,Central,Diana,Bank Transfer
300,2023-06-13,Furniture,Sofa,2,564.71,1129.42,East,Diana,Credit Card
301,2023-03-16,Electronics,Tablet,19,721.41,13706.79,Central,Ethan,Online
302,2023-03-20,Furniture,Sofa,19,834.2,15849.8,South,Diana,Bank Transfer
303,2023-10-09,Clothing,Jacket,15,172.39,2585.85,West,Diana,Online
304,2023-03-28,Furniture,Bookshelf,2,526.32,1052.64,South,Ethan,Cash
305,2023-12-09,Electronics,Laptop,8,72.63,581.04,West,Bob,Credit Card
306,2023-01-05,Furniture,Bookshelf,20,639.54,12790.8,East,Alice,Bank Transfer
307,2023-12-04,Groceries,Rice,18,414.28,7457.04,North,Ethan,Cash
308,2023-09-29,Clothing,Jacket,14,807.14,11299.96,North,Ethan,Credit Card
309,2023-02-24,Electronics,Smartphone,20,528.82,10576.4,South,Bob,Online
310,2023-05-17,Groceries,Rice,15,567.18,8507.7,East,Diana,Credit Card
311,2023-06-03,Electronics,Laptop,13,380.28,4943.64,North,Diana,Bank Transfer
312,2023-01-29,Electronics,Smartphone,14,646.68,9053.52,North,Diana,Online
313,2023-10-17,Electronics,Laptop,19,478.12,9084.28,South,Bob,Cash
314,2023-02-08,Clothing,T-Shirt,1,961.66,961.66,South,Charlie,Credit Card
315,2023-12-31,Groceries,Rice,19,244.27,4641.13,East,Bob,Bank Transfer
316,2023-12-13,Toys,Action Figure,3,503.29,1509.87,West,Bob,Online
317,2023-01-28,Electronics,Headphones,11,607.14,6678.54,South,Alice,Bank Transfer
318,2023-06-17,Electronics,Tablet,8,359.03,2872.24,West,Diana,Bank Transfer
319,2023-08-10,Furniture,Bookshelf,10,799.06,7990.6,North,Ethan,Cash
320,2023-02-12,Clothing,Jeans,13,320.09,4161.17,West,Bob,Cash
321,2023-02-16,Electronics,Tablet,9,106.72,960.48,West,Charlie,Cash
322,2023-04-06,Groceries,Eggs,17,411,6987,Central,Ethan,Cash
323,2023-02-15,Clothing,T-Shirt,11,864.4,9508.4,Central,Ethan,Cash
324,2023-05-30,Groceries,Eggs,8,574.1,4592.8,North,Ethan,Credit Card
325,2023-12-17,Groceries,Milk,10,272.06,2720.6,South,Charlie,Credit Card
326,2023-02-02,Furniture,Bookshelf,10,486.81,4868.1,East,Diana,Cash
327,2023-07-04,Clothing,Jeans,20,199.57,3991.4,West,Ethan,Cash
328,2023-03-11,Clothing,T-Shirt,20,382.99,7659.8,West,Charlie,Online
329,2023-08-14,Clothing,Shoes,10,324.06,3240.6,Central,Bob,Credit Card
330,2023-09-03,Clothing,Jeans,10,736.2,7362,West,Charlie,Bank Transfer
331,2023-10-22,Furniture,Sofa,13,368.19,4786.47,West,Charlie,Credit Card
332,2023-10-31,Toys,Doll,15,943.26,14148.9,Central,Alice,Credit Card
333,2023-08-13,Clothing,T-Shirt,5,635.17,3175.85,West,Diana,Credit Card
334,2023-05-10,Furniture,Bookshelf,15,990.75,14861.25,West,Alice,Bank Transfer
335,2023-10-26,Groceries,Eggs,12,703.13,8437.56,Central,Alice,Cash
